ID,Tipo,Módulo,Descripción,Prioridad,Criterios de aceptación (Gherkin),Dependencias,Fuente
FR-076,FR,Idiomas,Validar código de idioma en inserts/updates en 'languages',Should,"Dado el módulo Idiomas, Cuando ejecuto 'Validar código de idioma en inserts/updates', Entonces la operación persiste/consulta en languages con integridad referencial.","languages, fun_valida_idioma",fileciteturn0file1 + fileciteturn0file7
FR-077,FR,Países,Listar países disponibles en 'countries',Should,"Dado el módulo Países, Cuando ejecuto 'Listar países disponibles', Entonces la operación persiste/consulta en countries con integridad referencial.","countries, fun_valida_pais",fileciteturn0file1 + fileciteturn0file10
FR-078,FR,Países,Validar código de país en inserts/updates en 'countries',Should,"Dado el módulo Países, Cuando ejecuto 'Validar código de país en inserts/updates', Entonces la operación persiste/consulta en countries con integridad referencial.","countries, fun_valida_pais",fileciteturn0file1 + fileciteturn0file10
FR-079,FR,Bancos,Listar bancos por país en 'banks',Should,"Dado el módulo Bancos, Cuando ejecuto 'Listar bancos por país', Entonces la operación persiste/consulta en banks con integridad referencial.","banks, fun_valida_banco",fileciteturn0file1 + fileciteturn0file4
FR-080,FR,Bancos,Validar banco (opcional) en 'banks',Must,"Dado el módulo Bancos, Cuando ejecuto 'Validar banco (opcional)', Entonces la operación persiste/consulta en banks con integridad referencial.","banks, fun_valida_banco",fileciteturn0file1 + fileciteturn0file4
FR-081,FR,Bancos,Asociar banco al usuario en 'banks',Should,"Dado el módulo Bancos, Cuando ejecuto 'Asociar banco al usuario', Entonces la operación persiste/consulta en banks con integridad referencial.","banks, fun_valida_banco",fileciteturn0file1 + fileciteturn0file4
FR-082,FR,Estadísticas,Calcular total_sessions del mes en 'monthly_stats',Should,"Dado el módulo Estadísticas, Cuando ejecuto 'Calcular total_sessions del mes', Entonces la operación persiste/consulta en monthly_stats con integridad referencial.",monthly_stats,fileciteturn0file0
FR-083,FR,Estadísticas,Calcular total_hours del mes en 'monthly_stats',Should,"Dado el módulo Estadísticas, Cuando ejecuto 'Calcular total_hours del mes', Entonces la operación persiste/consulta en monthly_stats con integridad referencial.",monthly_stats,fileciteturn0file0
FR-084,FR,Estadísticas,Insertar reporte en audit_logs en 'monthly_stats',Should,"Dado el módulo Estadísticas, Cuando ejecuto 'Insertar reporte en audit_logs', Entonces la operación persiste/consulta en monthly_stats con integridad referencial.",monthly_stats,fileciteturn0file0
FR-085,FR,Estadísticas,Actualizar user_progress para usuarios activos en el mes en 'monthly_stats',Must,"Dado el módulo Estadísticas, Cuando ejecuto 'Actualizar user_progress para usuarios activos en el mes', Entonces la operación persiste/consulta en monthly_stats con integridad referencial.",monthly_stats,fileciteturn0file0
FR-086,FR,Identificadores,Generar id_user vía secuencia en 'id',Should,"Dado el módulo Identificadores, Cuando ejecuto 'Generar id_user vía secuencia', Entonces la operación persiste/consulta en id con integridad referencial.",id,fileciteturn0file11
FR-087,FR,Identificadores,No permitir huecos voluntarios en la asignación en 'id',Should,"Dado el módulo Identificadores, Cuando ejecuto 'No permitir huecos voluntarios en la asignación', Entonces la operación persiste/consulta en id con integridad referencial.",id,fileciteturn0file11
FR-088,FR,Índices/Performance,Buscar user por email usando idx_users_email en 'indexes',Should,"Dado el módulo Índices/Performance, Cuando ejecuto 'Buscar user por email usando idx_users_email', Entonces la operación persiste/consulta en indexes con integridad referencial.","indexes, índices relacionados",fileciteturn0file1
FR-089,FR,Índices/Performance,Filtrar sesiones por usuarios/estado (idx_sessions_users_status) en 'indexes',Should,"Dado el módulo Índices/Performance, Cuando ejecuto 'Filtrar sesiones por usuarios/estado (idx_sessions_users_status)', Entonces la operación persiste/consulta en indexes con integridad referencial.","indexes, índices relacionados",fileciteturn0file1
FR-090,FR,Índices/Performance,Listar chat por sesión/tiempo (idx_chat_logs_session_time) en 'indexes',Must,"Dado el módulo Índices/Performance, Cuando ejecuto 'Listar chat por sesión/tiempo (idx_chat_logs_session_time)', Entonces la operación persiste/consulta en indexes con integridad referencial.","indexes, índices relacionados",fileciteturn0file1
FR-091,FR,Índices/Performance,Listar no leídos por sesión (idx parcial) en 'indexes',Should,"Dado el módulo Índices/Performance, Cuando ejecuto 'Listar no leídos por sesión (idx parcial)', Entonces la operación persiste/consulta en indexes con integridad referencial.","indexes, índices relacionados",fileciteturn0file1
FR-092,FR,Índices/Performance,Optimizar consulta de notificaciones por usuario/estado (idx_notifications) en 'indexes',Should,"Dado el módulo Índices/Performance, Cuando ejecuto 'Optimizar consulta de notificaciones por usuario/estado (idx_notifications)', Entonces la operación persiste/consulta en indexes con integridad referencial.","indexes, índices relacionados",fileciteturn0file1
FR-093,FR,Reporting,Exportar listados a CSV/JSON con filtros y orden,Could,"Dado un listado paginado, Cuando exporto, Entonces recibo el archivo con las columnas visibles y filtros aplicados.",Vistas SQL/consultas sobre tablas base,fileciteturn0file1
FR-094,FR,Reporting,Exportar listados a CSV/JSON con filtros y orden,Could,"Dado un listado paginado, Cuando exporto, Entonces recibo el archivo con las columnas visibles y filtros aplicados.",Vistas SQL/consultas sobre tablas base,fileciteturn0file1
FR-095,FR,Reporting,Exportar listados a CSV/JSON con filtros y orden,Could,"Dado un listado paginado, Cuando exporto, Entonces recibo el archivo con las columnas visibles y filtros aplicados.",Vistas SQL/consultas sobre tablas base,fileciteturn0file1
FR-096,FR,Reporting,Exportar listados a CSV/JSON con filtros y orden,Could,"Dado un listado paginado, Cuando exporto, Entonces recibo el archivo con las columnas visibles y filtros aplicados.",Vistas SQL/consultas sobre tablas base,fileciteturn0file1
FR-097,FR,Reporting,Exportar listados a CSV/JSON con filtros y orden,Could,"Dado un listado paginado, Cuando exporto, Entonces recibo el archivo con las columnas visibles y filtros aplicados.",Vistas SQL/consultas sobre tablas base,fileciteturn0file1
FR-098,FR,Reporting,Exportar listados a CSV/JSON con filtros y orden,Could,"Dado un listado paginado, Cuando exporto, Entonces recibo el archivo con las columnas visibles y filtros aplicados.",Vistas SQL/consultas sobre tablas base,fileciteturn0file1
FR-099,FR,Reporting,Exportar listados a CSV/JSON con filtros y orden,Could,"Dado un listado paginado, Cuando exporto, Entonces recibo el archivo con las columnas visibles y filtros aplicados.",Vistas SQL/consultas sobre tablas base,fileciteturn0file1
FR-100,FR,Reporting,Exportar listados a CSV/JSON con filtros y orden,Could,"Dado un listado paginado, Cuando exporto, Entonces recibo el archivo con las columnas visibles y filtros aplicados.",Vistas SQL/consultas sobre tablas base,fileciteturn0file1
